history:GTC_Multisite_Inwi/DAK-ONE CONTACTE PORTE

Timestamp,Trend Flags,Status,Value
19-May-25 10:45:02 AM WEST,{start},"{fault,stale}",Fermé
19-May-25 11:00:02 AM WEST,{ },"{fault,stale}",Fermé
19-May-25 11:15:02 AM WEST,{ },{ok},Fermé
19-May-25 11:30:01 AM WEST,{ },{ok},Fermé
19-May-25 11:45:02 AM WEST,{ },{ok},Fermé
19-May-25 12:00:01 PM WEST,{ },{ok},Fermé
19-May-25 12:15:02 PM WEST,{ },{ok},Fermé
19-May-25 12:30:01 PM WEST,{ },{ok},Fermé
19-May-25 12:45:02 PM WEST,{ },{ok},Fermé
19-May-25 1:00:00 PM WEST,{ },{ok},Fermé
19-May-25 1:15:01 PM WEST,{ },{ok},Fermé
19-May-25 1:30:01 PM WEST,{ },{ok},Fermé
19-May-25 1:45:01 PM WEST,{ },{ok},Fermé
19-May-25 2:00:02 PM WEST,{ },{ok},Fermé
19-May-25 2:15:02 PM WEST,{ },{ok},Fermé
19-May-25 2:30:01 PM WEST,{ },{ok},Fermé
19-May-25 2:45:01 PM WEST,{ },{ok},Fermé
19-May-25 3:00:00 PM WEST,{ },{ok},Fermé
19-May-25 3:15:01 PM WEST,{ },{ok},Fermé
19-May-25 3:30:02 PM WEST,{ },{ok},Fermé
19-May-25 3:45:02 PM WEST,{ },{ok},Fermé
19-May-25 4:00:02 PM WEST,{ },{ok},Fermé
19-May-25 4:15:01 PM WEST,{ },{ok},Fermé
19-May-25 4:30:02 PM WEST,{ },{ok},Fermé
19-May-25 4:45:01 PM WEST,{ },{ok},Fermé
19-May-25 5:00:02 PM WEST,{ },{ok},Fermé
19-May-25 5:15:01 PM WEST,{ },{ok},Fermé
19-May-25 5:30:02 PM WEST,{ },{ok},Fermé
19-May-25 5:45:01 PM WEST,{ },{ok},Fermé
19-May-25 6:00:01 PM WEST,{ },{ok},Fermé
19-May-25 6:15:01 PM WEST,{ },{ok},Fermé
19-May-25 6:30:01 PM WEST,{ },{ok},Fermé
19-May-25 6:45:01 PM WEST,{ },{ok},Fermé
19-May-25 7:00:01 PM WEST,{ },{ok},Fermé
19-May-25 7:15:01 PM WEST,{ },{ok},Fermé
19-May-25 7:30:03 PM WEST,{ },{ok},Fermé
19-May-25 7:45:01 PM WEST,{ },{ok},Fermé
19-May-25 8:00:01 PM WEST,{ },{ok},Fermé
19-May-25 8:15:02 PM WEST,{ },{ok},Fermé
19-May-25 8:30:02 PM WEST,{ },{ok},Fermé
19-May-25 8:45:01 PM WEST,{ },{ok},Fermé
19-May-25 9:00:01 PM WEST,{ },{ok},Fermé
19-May-25 9:15:01 PM WEST,{ },{ok},Fermé
19-May-25 9:30:02 PM WEST,{ },{ok},Fermé
