history:GTC_Multisite_Inwi/TIF-ONE Active Power Total Clim

Timestamp,Trend Flags,Status,Value (kW)
01-Feb-25 1:30:02 AM WEST,{start},{ok},0.0
01-Feb-25 1:45:00 AM WEST,{ },{ok},0.0
01-Feb-25 2:00:01 AM WEST,{ },{ok},0.0
01-Feb-25 2:15:00 AM WEST,{ },{ok},0.0
01-Feb-25 2:30:00 AM WEST,{ },{ok},0.0
01-Feb-25 2:45:00 AM WEST,{ },{ok},0.0
01-Feb-25 3:00:00 AM WEST,{ },{ok},0.0
01-Feb-25 3:15:00 AM WEST,{ },{ok},0.0
01-Feb-25 3:30:00 AM WEST,{ },{ok},0.0
01-Feb-25 3:45:00 AM WEST,{ },{ok},0.0
01-Feb-25 4:00:00 AM WEST,{ },{ok},0.0
01-Feb-25 4:15:01 AM WEST,{ },{ok},0.0
01-Feb-25 4:30:01 AM WEST,{ },{ok},0.0
01-Feb-25 4:45:01 AM WEST,{ },{ok},0.0
01-Feb-25 5:00:00 AM WEST,{ },{ok},0.0
01-Feb-25 5:15:01 AM WEST,{ },{ok},0.0
01-Feb-25 5:30:00 AM WEST,{ },{ok},0.0
01-Feb-25 5:45:00 AM WEST,{ },{ok},0.0
01-Feb-25 6:00:00 AM WEST,{ },{ok},0.0
01-Feb-25 6:15:00 AM WEST,{ },{ok},0.0
01-Feb-25 6:30:00 AM WEST,{ },{ok},0.0
01-Feb-25 6:45:00 AM WEST,{ },{ok},0.0
01-Feb-25 7:00:00 AM WEST,{ },{ok},0.0
01-Feb-25 7:15:00 AM WEST,{ },{ok},0.0
01-Feb-25 7:30:00 AM WEST,{ },{ok},0.0
01-Feb-25 7:45:00 AM WEST,{ },{ok},0.0
01-Feb-25 8:00:01 AM WEST,{ },{ok},0.0
01-Feb-25 8:15:00 AM WEST,{ },{ok},0.0
01-Feb-25 8:30:01 AM WEST,{ },{ok},0.0
01-Feb-25 8:45:00 AM WEST,{ },{ok},0.0
01-Feb-25 9:00:01 AM WEST,{ },{ok},0.0
01-Feb-25 9:15:00 AM WEST,{ },{ok},0.0
01-Feb-25 9:30:03 AM WEST,{ },{ok},0.0
01-Feb-25 9:45:02 AM WEST,{ },{ok},0.0
01-Feb-25 10:00:01 AM WEST,{ },{ok},0.0
01-Feb-25 10:15:00 AM WEST,{ },{ok},0.0
01-Feb-25 10:30:01 AM WEST,{ },{ok},0.0
01-Feb-25 10:45:00 AM WEST,{ },{ok},0.0
01-Feb-25 11:00:00 AM WEST,{ },{ok},0.0
01-Feb-25 11:15:00 AM WEST,{ },{ok},0.0
01-Feb-25 11:30:00 AM WEST,{ },{ok},0.0
01-Feb-25 11:45:01 AM WEST,{ },{ok},0.0
01-Feb-25 12:00:00 PM WEST,{ },{ok},0.0
01-Feb-25 12:15:00 PM WEST,{ },{ok},0.0
01-Feb-25 12:30:00 PM WEST,{ },{ok},0.0
01-Feb-25 12:45:01 PM WEST,{ },{ok},0.0
01-Feb-25 1:00:00 PM WEST,{ },{ok},0.0
01-Feb-25 1:15:00 PM WEST,{ },{ok},0.0
01-Feb-25 1:30:00 PM WEST,{ },{ok},0.0
01-Feb-25 1:45:00 PM WEST,{ },{ok},0.0
01-Feb-25 2:00:00 PM WEST,{ },{ok}, -0.0
01-Feb-25 2:15:00 PM WEST,{ },{ok},0.0
01-Feb-25 2:30:00 PM WEST,{ },{ok}, -0.0
01-Feb-25 2:45:00 PM WEST,{ },{ok}, -0.0
01-Feb-25 3:00:00 PM WEST,{ },{ok},0.0
01-Feb-25 3:15:00 PM WEST,{ },{ok},0.0
01-Feb-25 3:30:00 PM WEST,{ },{ok}, -0.0
01-Feb-25 3:45:01 PM WEST,{ },{ok},0.0
01-Feb-25 4:00:01 PM WEST,{ },{ok},0.0
01-Feb-25 4:15:01 PM WEST,{ },{ok},0.0
01-Feb-25 4:30:00 PM WEST,{ },{ok},0.0
01-Feb-25 4:45:00 PM WEST,{ },{ok}, -0.0
01-Feb-25 5:00:00 PM WEST,{ },{ok}, -0.0
01-Feb-25 5:15:01 PM WEST,{ },{ok},0.0
01-Feb-25 5:30:00 PM WEST,{ },{ok}, -0.0
01-Feb-25 5:45:00 PM WEST,{ },{ok}, -0.0
01-Feb-25 6:00:00 PM WEST,{ },{ok}, -0.0
01-Feb-25 6:15:00 PM WEST,{ },{ok}, -0.0
01-Feb-25 6:30:00 PM WEST,{ },{ok}, -0.0
01-Feb-25 6:45:01 PM WEST,{ },{ok},0.0
01-Feb-25 7:00:00 PM WEST,{ },{ok}, -0.0
01-Feb-25 7:15:00 PM WEST,{ },{ok},0.0
01-Feb-25 7:30:00 PM WEST,{ },{ok}, -0.0
01-Feb-25 7:45:00 PM WEST,{ },{ok},0.0
01-Feb-25 8:00:00 PM WEST,{ },{ok}, -0.0
01-Feb-25 8:15:00 PM WEST,{ },{ok},0.0
01-Feb-25 8:30:00 PM WEST,{ },{ok},0.0
01-Feb-25 8:45:00 PM WEST,{ },{ok}, -0.0
01-Feb-25 9:00:00 PM WEST,{ },{ok},0.0
01-Feb-25 9:15:00 PM WEST,{ },{ok},0.0
01-Feb-25 9:30:00 PM WEST,{ },{ok},0.0
01-Feb-25 9:45:00 PM WEST,{ },{ok},0.0
01-Feb-25 10:00:00 PM WEST,{ },{ok},0.0
01-Feb-25 10:15:00 PM WEST,{ },{ok}, -0.0
01-Feb-25 10:30:00 PM WEST,{ },{ok},0.0
01-Feb-25 10:45:00 PM WEST,{ },{ok},0.0
01-Feb-25 11:00:00 PM WEST,{ },{ok},0.0
01-Feb-25 11:15:00 PM WEST,{ },{ok}, -0.0
01-Feb-25 11:30:00 PM WEST,{ },{ok}, -0.1
01-Feb-25 11:45:00 PM WEST,{ },{ok},0.0
02-Feb-25 12:00:00 AM WEST,{ },{ok}, -0.0
02-Feb-25 12:15:00 AM WEST,{ },{ok},0.0
